BHK,Size,Area Type,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Rent
1,450,2,5,2,1,2,1,38000
2,750,2,5,2,1,2,1,100000
2,800,2,5,1,1,2,1,65000
3,1050,2,5,0,2,3,1,80000
2,850,2,5,0,0,2,1,85000
4,2500,2,5,1,1,4,1,600000
3,2000,2,5,0,1,3,1,150000
3,1330,2,5,1,1,4,1,130000
3,950,2,5,2,1,3,1,55000
1,435,2,5,1,0,2,1,23000
3,1300,2,5,1,0,4,1,95000
2,650,1,5,2,1,2,0,40000
3,1550,2,5,1,1,3,1,180000
1,380,2,5,1,1,1,1,25000
4,1454,2,5,2,1,4,1,140000
2,860,2,5,1,2,2,1,55000
2,680,2,5,1,1,2,1,46000
1,433,2,5,2,0,2,1,22000
2,710,2,5,1,1,2,1,55100
2,700,2,5,0,0,2,1,65000
1,550,2,5,2,1,1,1,33000
4,2700,2,5,1,1,5,1,320000
1,350,1,5,2,1,1,0,33000
1,490,1,5,1,1,1,0,25000
3,1225,2,5,0,1,3,1,300000
3,1286,2,5,2,1,5,1,100000
1,425,2,5,2,1,2,1,33000
2,550,2,5,1,0,2,1,35000
3,1224,2,5,2,2,3,1,130000
3,950,2,5,2,1,3,1,80000
1,425,2,5,1,0,2,0,10000
3,1000,2,5,0,1,3,1,92500
2,710,2,5,1,1,2,1,57000
3,1300,2,5,1,1,3,1,170000
1,433,2,5,1,1,2,1,29999
2,650,2,5,0,0,2,1,42000
3,1650,2,5,0,0,4,1,330000
2,600,1,5,1,1,1,0,24000
2,850,1,5,1,2,2,0,35000
1,305,2,5,2,0,1,1,14000
2,490,2,5,0,1,2,1,45000
2,690,2,5,1,0,2,1,36000
2,635,2,5,2,1,2,1,53500
3,1100,2,5,0,1,2,1,80000
1,250,1,5,2,1,1,0,7500
3,1200,2,5,0,1,3,1,140000
2,750,2,5,2,0,2,1,95000
3,1100,2,5,0,1,3,1,130000
2,700,2,5,1,1,2,1,45000
2,1150,2,5,2,1,2,1,110000
3,1379,2,5,2,1,3,1,120000
1,500,2,5,0,1,1,1,60000
3,1400,1,5,2,1,3,1,120000
1,390,2,5,2,1,1,1,40000
2,935,1,5,0,1,2,0,50000
2,535,2,5,2,1,2,1,36000
3,1250,2,5,1,1,3,1,150000
4,3700,2,5,0,1,4,1,230000
1,350,2,5,2,0,2,1,25000
3,1350,2,5,1,2,4,1,190000
3,1550,2,5,1,1,3,0,61000
3,1100,2,5,0,1,3,1,70000
3,950,2,5,2,1,3,1,42000
1,400,2,5,2,1,1,1,27000
2,700,2,5,0,0,2,1,60000
3,850,1,5,0,1,2,0,85000
2,900,2,5,0,1,2,1,75000
3,1208,2,5,2,0,3,1,200000
3,1150,2,5,1,1,3,1,170000
3,1600,2,5,1,1,4,1,180000
2,700,2,5,0,1,2,1,55000
5,3200,2,5,1,1,5,1,600000
1,330,1,5,2,1,1,0,18000
1,225,1,5,2,1,1,0,19000
3,1050,2,5,0,1,3,1,150000
1,225,2,5,1,0,1,1,18500
1,463,2,5,0,1,2,1,35000
4,1900,2,5,0,1,3,1,200000
2,1500,1,5,0,1,4,0,150000
2,1000,2,5,1,1,2,1,70000
1,450,2,5,1,0,2,1,35000
2,700,2,5,2,0,2,0,45000
1,355,2,5,2,1,1,0,30000
3,1325,2,5,0,1,3,1,50000
2,950,1,5,0,1,2,0,50000
1,600,1,5,1,1,1,0,42000
2,905,2,5,1,1,2,0,19500
3,1500,2,5,0,1,3,1,90000
1,455,2,5,2,1,1,1,60000
2,850,2,5,1,0,2,1,55000
3,1100,1,5,2,2,2,0,40000
1,430,2,5,2,1,2,1,40000
2,650,2,5,1,1,2,1,36000
2,795,2,5,2,1,2,1,45000
2,800,2,5,0,1,2,1,100000
1,700,1,5,0,1,1,1,42000
1,450,2,5,0,2,2,1,45000
2,575,2,5,1,1,2,1,40000
2,650,2,5,0,0,3,1,50000
1,200,1,5,0,1,1,0,11000
2,1200,1,5,1,1,2,0,50000
1,656,1,5,2,1,2,0,34000
3,1600,2,5,1,2,3,1,93000
3,950,2,5,2,2,3,1,69999
2,719,2,5,1,2,2,1,48000
3,1100,2,5,2,0,3,1,55000
4,3064,2,5,1,2,4,1,1000000
2,650,2,5,1,1,2,1,40000
3,1450,2,5,1,1,5,1,130000
2,720,2,5,1,1,2,1,75000
2,670,1,5,1,1,2,0,23000
3,1350,2,5,0,0,3,1,200000
3,925,2,5,2,0,2,1,55000
4,1450,2,5,2,1,4,1,80000
3,1550,2,5,0,1,3,1,220000
1,420,2,5,1,2,2,1,40000
2,650,2,5,2,1,2,1,35000
2,700,2,5,0,2,2,1,33003
5,3400,2,5,1,1,5,1,450000
2,935,1,5,1,1,2,0,65000
2,980,2,5,1,1,2,0,45000
4,2800,2,5,0,2,4,1,280000
2,700,2,5,0,0,3,1,55000
2,720,2,5,1,1,2,1,56000
2,750,2,5,1,0,2,1,55000
2,700,2,5,0,1,2,1,28000
2,1000,2,5,1,1,3,1,150000
5,3000,2,5,0,1,5,1,300000
1,413,2,5,0,1,1,0,50000
4,1755,2,5,1,2,4,1,180000
3,1850,2,5,1,0,4,1,190000
2,890,2,5,2,1,2,0,8000
3,1200,2,5,1,1,3,1,75000
3,1100,2,5,0,0,3,1,83000
1,420,2,5,1,2,2,1,32000
2,630,2,5,2,2,2,1,39000
4,1705,2,5,1,2,3,1,150000
3,1300,2,5,0,0,3,1,190000
3,1355,2,5,0,1,3,1,160000
1,450,2,5,1,0,2,1,25000
3,1350,2,5,2,2,3,1,90000
2,825,2,5,0,0,2,1,95000
1,550,1,5,1,1,1,0,30000
1,430,2,5,2,2,1,1,18500
1,320,2,5,0,1,1,1,18000
3,1100,2,5,1,1,3,1,75000
4,1460,2,5,1,1,4,1,150000
3,1250,2,5,0,1,3,1,100000
2,1000,2,5,0,1,3,1,170000
2,710,2,5,2,1,2,1,45000
3,1350,2,5,0,0,3,1,200000
2,400,2,5,0,1,1,0,20000
3,1000,2,5,1,1,4,1,85000
3,1500,2,5,2,2,3,1,130000
1,500,1,5,1,1,1,1,40000
4,2000,2,5,0,0,4,1,250000
1,225,2,5,2,0,1,0,15000
2,650,2,5,0,1,2,1,40000
2,670,2,5,1,2,2,0,48000
2,610,2,5,1,0,1,0,15000
1,400,2,5,0,1,2,1,28000
1,340,2,5,2,1,1,1,25000
2,471,2,5,1,0,2,1,34000
1,550,2,5,0,1,2,1,75000
2,630,2,5,1,1,1,1,45000
1,500,1,5,1,1,2,0,35000
1,400,2,5,0,1,1,1,32000
2,1000,1,5,2,1,2,0,17000
4,1528,2,5,2,2,4,1,230000
2,650,2,5,1,1,2,1,35000
1,500,2,5,2,0,1,0,8500
3,850,2,5,1,1,2,1,80000
1,550,2,5,1,0,1,1,55000
1,430,2,5,2,2,2,1,25000
3,1030,2,5,0,2,3,1,40000
1,250,2,5,2,1,1,1,15500
1,500,2,5,2,0,2,1,45000
4,1750,2,5,1,0,4,1,180000
2,985,2,5,2,1,2,1,51000
3,1050,2,5,2,0,3,1,60000
2,700,2,5,2,1,2,1,36000
3,1200,2,5,1,1,3,1,180000
3,1000,2,5,0,1,3,1,75000
2,550,2,5,2,2,2,1,8000
3,806,1,5,1,1,2,0,50000
3,1400,2,5,0,1,3,1,100000
1,470,2,5,1,2,2,1,16500
1,475,1,5,2,1,1,0,4500
2,583,2,5,2,2,2,1,34000
2,475,2,5,2,0,2,1,32000
2,900,2,5,0,2,2,1,50000
1,500,2,5,1,1,1,0,24000
2,806,2,5,2,1,3,1,62000
1,400,2,5,0,1,1,1,100000
1,650,1,5,1,1,2,0,21000
1,550,1,5,1,1,2,0,27000
1,390,2,5,2,1,1,1,10000
2,994,2,5,1,1,2,1,90000
1,520,1,5,1,1,2,0,8000
1,575,2,5,1,2,1,1,75000
3,2750,2,5,2,1,3,1,230000
1,470,2,5,1,2,2,1,15000
4,2500,2,5,1,1,4,1,260000
3,1100,2,5,1,2,3,1,62000
1,480,2,5,0,1,2,1,43500
2,750,2,5,2,1,2,1,62000
4,2424,2,5,1,1,5,1,400000
2,724,2,5,1,0,2,1,77500
1,600,2,5,0,1,1,0,30000
3,1076,2,5,1,1,2,1,110000
1,800,1,5,2,1,2,0,20000
3,1300,2,5,1,1,3,1,150000
1,500,2,5,2,1,2,1,55000
2,700,2,5,1,0,2,1,70000
2,700,2,5,0,0,2,1,65000
3,2170,2,5,1,1,4,1,310000
1,225,2,5,2,0,2,1,18000
1,485,2,5,0,1,2,1,48000
1,225,1,5,2,1,1,0,10000
1,478,2,5,1,1,2,1,32000
3,1200,1,5,1,1,3,0,32000
2,620,2,5,1,2,2,1,36000
1,280,2,5,2,1,1,1,22000
1,385,2,5,2,2,1,1,5500
3,704,2,5,2,1,2,0,15000
2,710,2,5,2,1,2,0,40000
1,525,1,5,2,1,1,0,28000
1,390,2,5,1,1,1,1,11000
2,755,2,5,1,0,2,1,40000
2,700,2,5,2,1,2,1,45000
2,1000,2,5,1,0,3,1,180000
3,2000,2,5,0,2,3,1,160000
2,650,2,5,2,2,2,1,36000
1,470,2,5,1,0,1,1,59000
1,450,2,5,1,1,2,1,40000
2,625,1,5,1,1,2,0,40000
2,700,2,5,0,0,2,1,72000
2,600,2,5,2,2,2,1,40000
2,600,2,5,2,2,1,0,16000
2,1100,1,5,0,1,4,1,50000
1,370,2,5,1,2,1,1,24000
2,950,2,5,1,1,2,1,65000
2,825,1,5,2,1,2,0,33000
2,650,2,5,2,0,2,1,27000
2,750,2,5,1,1,2,1,52000
3,900,2,5,1,2,3,1,95000
2,805,2,5,1,1,3,1,68000
2,742,2,5,2,2,2,1,48000
2,550,2,5,1,1,2,1,32000
2,745,2,5,1,1,2,1,42000
2,800,2,5,0,2,2,1,60000
3,1265,2,5,2,2,3,1,51500
3,1800,1,5,2,1,3,1,130000
1,325,2,5,0,1,1,1,25000
2,902,2,5,1,1,2,1,85000
3,1233,2,5,1,1,4,1,98000
2,750,1,5,0,1,2,0,100000
2,600,2,5,2,0,2,1,65000
1,500,1,5,2,1,1,1,23000
2,600,2,5,2,1,2,1,40000
3,950,2,5,2,1,3,1,45000
1,680,1,5,0,1,4,1,40000
1,400,2,5,2,1,1,1,23500
4,2120,2,5,0,1,5,1,250000
3,1350,2,5,1,0,4,1,110000
3,1600,2,5,1,1,3,1,150000
1,430,2,5,2,2,1,1,22000
4,1937,2,5,1,1,5,1,150000
2,700,2,5,1,0,3,1,75000
2,780,2,5,2,1,2,1,41000
4,1300,2,5,1,1,4,1,150000
3,1350,2,5,1,1,3,1,150000
2,750,2,5,0,1,2,1,53000
4,1400,2,5,1,1,3,1,140000
4,2000,2,5,0,1,5,1,200000
2,850,2,5,0,1,2,1,65000
1,500,2,5,0,0,1,1,48000
2,900,1,5,2,1,2,1,75000
2,750,2,5,1,2,2,1,39000
3,1100,2,5,1,1,2,1,70000
4,5000,2,5,1,1,4,1,1200000
1,596,1,5,1,1,1,0,25000
2,680,2,5,2,0,2,1,45000
4,1950,2,5,2,1,4,1,190000
3,1350,2,5,1,1,3,1,140000
1,510,2,5,1,1,1,0,35000
1,500,2,5,0,1,1,1,60000
1,375,1,5,2,1,1,0,15000
1,500,2,5,0,2,1,1,39000
3,1500,2,5,1,1,3,1,190000
3,1000,2,5,0,1,3,1,84000
3,1260,2,5,2,2,3,1,68000
1,475,2,5,2,1,2,1,26000
2,620,2,5,1,2,2,1,42000
1,490,2,5,0,1,1,1,35000
2,710,2,5,1,1,2,1,44000
2,720,2,5,2,1,2,1,60000
2,770,2,5,1,0,2,1,45000
3,1600,1,5,1,1,3,1,250000
1,500,2,5,0,1,1,1,65000
1,350,1,5,2,1,1,0,20000
2,1000,1,5,1,1,2,1,75000
5,3900,2,5,0,1,5,1,500000
3,1000,2,5,1,2,3,1,140000
2,660,2,5,1,0,2,1,45000
1,600,1,5,1,1,1,0,9400
2,900,2,5,0,1,2,1,100000
2,750,2,5,0,1,2,1,65000
2,1000,2,5,0,1,2,1,230000
3,1500,2,5,1,0,3,1,180000
2,1200,2,5,0,1,3,1,180000
3,1200,2,5,0,1,3,1,120000
1,280,2,5,1,1,1,1,20000
2,1000,2,5,0,0,2,1,130000
3,1800,2,5,1,0,4,1,400000
2,694,2,5,1,1,2,1,75000
5,3250,2,5,2,2,5,1,350000
3,1740,1,5,0,1,4,0,100000
2,750,2,5,0,1,2,1,55000
3,1000,2,5,1,1,3,1,70000
1,500,1,5,0,1,1,0,30000
4,2000,2,5,1,0,5,1,330000
1,550,2,5,0,1,2,1,75000
1,270,2,5,2,0,1,0,14000
3,960,2,5,1,2,3,1,130000
3,1200,1,5,1,2,2,0,40000
2,710,2,5,2,1,2,1,46000
1,472,2,5,1,0,2,0,27000
2,1000,2,5,1,1,2,1,95000
2,800,2,5,1,2,2,1,94000
2,650,2,5,2,0,2,1,40000
3,1300,2,5,1,1,3,1,150000
2,600,2,5,2,1,2,1,30000
2,750,2,5,0,0,2,1,95000
2,890,2,5,1,2,2,1,130000
1,421,2,5,2,1,1,1,14000
3,1300,2,5,1,2,3,1,100000
1,350,1,5,2,1,1,0,35000
2,800,2,5,1,1,2,1,57000
2,650,2,5,1,1,2,0,45000
1,650,1,5,0,1,2,0,11000
2,650,2,5,1,1,2,1,50000
2,680,2,5,2,1,2,1,35000
2,800,2,5,0,1,2,1,100000
3,1250,2,5,1,2,3,1,130000
1,475,2,5,2,1,1,1,52000
2,600,2,5,2,1,2,1,28000
1,450,1,5,2,1,1,0,18000
1,400,1,5,2,0,1,0,30000
3,985,2,5,2,2,3,1,45000
3,1450,2,5,2,0,3,1,130000
2,650,2,5,1,2,2,1,58000
2,805,2,5,1,1,3,1,65000
1,650,1,5,1,1,1,0,24000
1,515,2,5,2,1,1,1,54500
3,1000,2,5,1,1,2,1,70000
3,1050,2,5,1,2,3,1,67000
2,777,2,5,0,1,2,1,75000
2,831,2,5,2,2,2,1,45000
3,1233,2,5,1,1,4,1,98000
1,250,2,5,2,1,1,0,16000
2,900,2,5,1,0,2,1,95000
2,753,2,5,2,1,2,1,40000
3,1800,2,5,0,0,3,1,300000
2,670,2,5,2,0,2,1,80000
4,2800,2,5,1,1,4,1,380000
3,1197,2,5,1,1,3,1,160000
2,880,2,5,2,0,2,0,44000
2,1000,2,5,0,1,2,1,200000
2,935,1,5,1,1,2,0,65000
2,751,2,5,1,1,2,1,50000
1,200,1,5,2,1,1,0,6000
4,2500,2,5,1,1,6,1,280000
1,500,2,5,0,2,1,1,46000
1,430,2,5,0,1,1,1,35000
3,1088,2,5,1,1,3,1,75000
1,330,2,5,1,1,1,0,20000
1,400,2,5,2,1,1,0,25000
3,1200,2,5,0,1,3,1,110000
2,700,2,5,2,1,2,1,29500
3,1000,2,5,1,1,2,1,53000
2,750,2,5,1,1,2,1,85000
1,450,2,5,2,0,2,1,26000
1,640,1,5,0,1,2,0,33000
3,1190,2,5,1,1,3,1,180000
3,850,1,5,2,0,3,1,70000
1,330,2,5,1,1,1,1,17000
2,685,2,5,1,0,2,1,37000
1,400,2,5,2,0,2,1,27000
1,500,2,5,0,1,2,1,35500
1,550,2,5,2,0,1,1,24000
4,2500,2,5,2,1,4,1,250000
3,1100,2,5,0,2,3,1,180000
2,650,2,5,2,2,2,1,18500
3,1400,2,5,0,1,3,1,200000
2,1050,2,5,0,1,2,1,70000
3,850,2,5,2,0,3,1,55000
1,550,2,5,2,0,1,1,24000
2,750,2,5,0,1,2,1,55000
3,1350,2,5,1,1,3,1,150000
2,800,2,5,1,1,2,1,50000
4,2650,2,5,1,1,3,1,300000
3,975,2,5,1,1,2,1,90100
3,1325,2,5,0,1,4,1,57000
2,700,1,5,1,1,2,0,40000
2,700,2,5,0,2,2,1,80000
2,850,2,5,1,1,2,1,95000
1,305,2,5,2,0,1,1,14000
2,850,2,5,2,1,2,1,50000
2,724,2,5,2,1,2,1,43000
2,650,2,5,0,0,2,1,55000
2,650,2,5,2,2,2,1,35000
2,700,2,5,2,0,2,1,33000
2,785,2,5,0,1,2,1,47000
3,1250,2,5,1,2,3,1,75000
4,1016,2,5,2,1,3,1,45000
1,380,2,5,2,1,2,1,36000
1,475,2,5,2,0,1,1,40000
1,444,2,5,2,0,2,1,40000
2,640,2,5,2,1,2,1,32000
1,320,2,5,2,1,1,0,17000
3,1100,2,5,2,1,4,1,77000
4,1500,2,5,0,1,3,1,290000
2,650,2,5,1,1,2,1,35000
1,508,2,5,1,1,2,1,40000
4,2500,2,5,0,1,4,1,250000
2,720,2,5,2,0,2,1,47000
2,750,1,5,2,1,2,0,50000
1,430,2,5,2,2,1,1,32000
2,623,2,5,2,2,2,1,8000
3,1358,2,5,1,2,4,1,240000
3,1000,2,5,1,1,3,1,85000
3,1100,2,5,2,0,3,1,65000
3,1255,2,5,0,1,3,0,75000
1,450,2,5,0,2,2,1,26500
2,650,2,5,0,1,2,1,45000
2,955,2,5,1,0,2,1,95000
2,700,2,5,2,1,2,1,38000
3,1915,1,5,1,2,4,1,260000
4,2308,2,5,1,1,6,1,300000
3,1250,2,5,1,2,3,1,180000
2,625,2,5,1,0,2,1,40000
4,2200,2,5,0,2,4,1,300000
2,870,2,5,0,1,2,1,85000
3,1300,2,5,1,1,3,1,110000
2,750,2,5,2,2,2,1,40000
2,750,1,5,0,0,2,0,45000
2,550,2,5,0,1,2,1,52000
4,1250,2,5,0,2,4,1,90000
3,1400,2,5,1,2,3,1,140000
3,1330,2,5,1,2,4,1,150000
3,1000,2,5,1,1,3,1,65000
2,770,2,5,2,1,2,1,50000
2,800,2,5,2,2,2,1,54000
4,1691,2,5,1,1,6,1,180000
1,550,2,5,0,0,2,1,60000
2,800,2,5,2,2,2,1,65000
2,615,2,5,2,2,2,1,35000
2,663,2,5,2,1,2,1,43000
1,400,2,5,1,1,1,0,20000
2,625,2,5,0,0,2,1,57000
4,1432,2,5,2,1,3,1,130000
1,425,2,5,2,0,1,1,25000
2,649,2,5,1,0,2,1,56000
2,905,2,5,2,0,2,1,55000
2,882,1,5,2,0,2,0,18000
3,1200,2,5,0,1,3,1,100000
2,736,2,5,2,2,2,1,76000
3,1710,2,5,0,1,3,1,270000
1,225,2,5,2,0,1,0,45000
2,720,2,5,2,1,2,1,39000
1,555,1,5,2,0,1,0,12500
1,415,1,5,2,1,1,0,35000
2,649,2,5,1,0,2,1,55000
3,1000,2,5,0,0,2,1,90000
2,1300,2,5,0,1,2,1,250000
2,1065,1,5,0,1,2,0,25000
2,854,2,5,1,1,2,1,90000
3,1200,2,5,0,1,3,1,120000
1,500,2,5,2,0,1,1,55000
3,906,2,5,1,1,3,1,70000
3,1800,2,5,0,1,4,1,300000
2,500,2,5,0,1,1,0,25000
1,450,1,5,2,1,1,0,35000
3,1130,2,5,1,1,3,1,120000
1,495,1,5,0,1,2,0,27000
1,407,1,5,2,1,2,0,25000
3,1092,2,5,1,2,3,1,150000
2,610,2,5,2,2,2,1,32000
1,500,1,5,0,1,2,0,40000
2,750,2,5,2,1,2,1,52000
2,750,2,5,0,0,2,1,80000
2,850,2,5,0,1,2,1,55000
1,350,2,5,2,1,1,1,30000
1,300,2,5,1,1,1,1,20000
1,695,2,5,0,1,2,1,85000
1,415,2,5,1,1,2,1,40000
1,450,2,5,2,0,2,1,21000
3,850,2,5,2,2,3,1,43000
2,805,2,5,1,1,3,1,58000
2,700,2,5,0,1,2,1,130000
3,1800,2,5,0,2,4,1,260000
2,669,2,5,2,0,2,1,46000
1,325,2,5,2,2,1,1,6500
1,600,1,5,0,1,1,0,21000
2,725,2,5,2,1,2,1,46000
2,750,2,5,1,1,2,1,60000
3,1050,2,5,1,0,3,1,65000
2,600,2,5,2,1,2,0,15000
2,1000,2,5,1,1,2,1,130000
3,1110,2,5,0,1,3,1,90000
2,650,2,5,2,2,2,1,62000
3,1100,2,5,1,1,3,1,160000
3,1100,2,5,2,1,3,1,80000
3,1110,2,5,1,1,3,1,80000
3,999,2,5,1,2,2,1,55000
3,1000,2,5,0,1,3,1,100000
4,2200,2,5,1,1,5,1,200000
3,1256,2,5,0,2,3,1,100000
2,750,2,5,1,2,2,1,79500
3,889,2,5,1,1,2,1,84500
2,750,2,5,1,1,2,1,100000
1,385,2,5,2,2,1,1,13000
4,1454,2,5,2,1,4,1,100000
1,480,2,5,1,2,2,1,35000
2,660,2,5,1,1,2,1,72000
3,1600,2,5,0,1,3,1,180000
1,434,2,5,1,1,2,1,26000
3,1121,2,5,2,1,3,1,72000
1,620,1,5,1,1,2,0,8000
3,937,2,5,0,2,2,1,130000
1,470,2,5,1,1,2,1,52000
1,410,2,5,2,2,1,1,13000
3,850,2,5,2,2,3,1,45000
3,1500,2,5,0,1,4,1,180000
2,888,2,5,0,1,2,1,63000
1,380,2,5,2,0,2,0,7500
1,360,2,5,2,1,1,1,30000
1,565,1,5,0,1,2,0,28500
3,2000,1,5,1,1,4,1,100000
4,1358,2,5,1,2,4,1,270000
2,661,2,5,1,1,2,1,38000
1,450,2,5,2,2,2,1,26000
3,1300,2,5,2,0,3,1,70000
2,600,2,5,0,2,2,1,41000
2,900,1,5,1,1,3,0,27000
1,379,2,5,1,0,1,1,53000
2,805,2,5,1,2,3,1,65000
1,650,1,5,0,1,2,0,85000
1,500,1,5,1,1,2,0,6000
1,480,2,5,0,2,2,1,43000
2,550,1,5,1,1,2,0,65000
3,1600,2,5,0,1,3,1,280000
3,1400,2,5,1,2,2,1,98000
3,1500,2,5,1,1,2,1,330000
3,1050,2,5,2,0,3,1,65000
3,920,2,5,2,2,3,1,85000
1,450,2,5,1,1,1,1,40000
1,440,2,5,1,0,1,1,23000
3,932,1,5,2,1,3,0,55000
1,270,2,5,2,0,2,0,15000
1,379,2,5,1,0,2,1,52000
2,582,2,5,0,2,2,0,13000
2,800,2,5,1,1,2,1,95000
1,444,2,5,2,1,2,1,25000
1,428,2,5,2,1,1,1,21000
5,1880,2,5,0,2,4,1,360000
2,888,2,5,1,1,2,1,60000
1,490,1,5,2,1,1,0,19000
3,937,2,5,2,2,4,1,140000
2,710,2,5,2,2,2,1,30000
4,1617,2,5,1,1,5,1,130000
2,836,2,5,2,1,2,1,80000
2,1200,2,5,1,1,3,1,85000
2,950,2,5,0,1,2,1,65000
1,460,2,5,1,1,2,1,33000
1,585,1,5,1,1,2,1,36000
2,550,2,5,0,2,2,1,22000
1,375,2,5,2,1,1,1,17000
2,700,2,5,0,1,2,1,55000
2,750,2,5,2,2,2,1,66000
4,2000,2,5,0,2,4,1,140000
4,2046,2,5,1,1,5,1,260000
2,750,1,5,1,1,2,0,32000
2,730,2,5,2,2,2,1,45000
2,750,2,5,1,1,2,1,50000
1,229,1,5,1,1,1,0,18500
2,910,2,5,2,0,2,1,51000
4,1648,2,5,1,1,5,1,140000
3,1100,2,5,2,2,3,1,80000
1,560,2,5,2,0,2,1,30000
2,850,2,5,2,1,2,1,85000
1,450,1,5,2,2,1,0,15000
2,820,2,5,1,1,2,1,50000
2,750,2,5,2,1,2,1,60000
1,410,2,5,2,1,1,1,23000
1,490,2,5,2,1,2,0,14500
2,700,2,5,2,1,2,1,40000
5,3000,2,5,1,1,5,1,650000
1,560,2,5,0,1,1,1,80000
2,650,2,5,2,1,2,1,55000
1,520,1,5,1,1,1,0,12000
2,850,2,5,2,1,2,1,45000
2,777,2,5,0,1,2,1,90000
2,771,2,5,2,1,2,1,43000
1,400,2,5,2,1,1,1,22000
2,600,2,5,0,2,2,1,20000
1,390,2,5,1,1,2,1,26000
4,3200,2,5,0,1,4,1,850000
1,450,2,5,0,1,2,1,34999
1,500,1,5,1,1,2,0,35000
1,410,2,5,1,1,1,1,50000
1,160,2,5,2,1,1,0,16000
2,750,2,5,2,1,2,1,55000
1,585,1,5,2,2,2,1,39000
3,1300,2,5,1,2,3,1,100000
1,350,2,5,0,1,1,0,25000
1,490,1,5,1,1,2,0,25000
2,650,2,5,2,2,2,1,49500
1,225,2,5,2,1,1,0,21000
2,850,2,5,1,1,2,1,110000
1,385,1,5,2,1,1,0,21000
2,800,2,5,2,2,2,1,46700
4,2500,2,5,0,1,4,1,400000
4,1526,2,5,1,1,5,1,280000
1,300,1,5,2,1,1,0,18000
3,1800,1,5,1,1,3,1,80000
2,800,2,5,1,1,2,1,88000
3,890,2,5,0,2,2,1,90000
2,700,2,5,2,1,2,1,38000
1,465,1,5,1,0,1,0,20000
2,900,2,5,0,2,2,1,140000
3,1073,2,5,1,1,3,1,78000
1,450,1,5,2,1,1,0,21000
3,1350,2,5,0,1,3,1,95000
2,800,2,5,0,1,2,1,90000
2,600,2,5,2,0,2,1,34000
2,650,2,5,2,1,2,1,55000
2,550,2,5,0,0,2,1,52000
1,840,2,5,2,1,2,1,74999
3,1121,2,5,0,1,2,1,75000
2,650,2,5,2,1,2,1,45000
1,575,1,5,2,1,1,0,22000
1,475,1,5,0,1,1,0,32000
2,830,2,5,1,1,2,1,34000
3,1337,2,5,1,1,3,1,170000
1,420,2,5,1,1,2,1,23000
1,310,2,5,2,0,1,1,20000
3,1800,2,5,0,2,4,1,350000
3,967,2,5,0,1,3,1,90000
1,505,2,5,1,1,1,1,55000
1,275,1,5,2,1,1,0,15000
2,640,2,5,1,2,2,1,22000
3,1500,2,5,1,1,3,1,60000
2,850,2,5,1,1,2,1,49000
2,900,2,5,1,1,2,1,34000
1,430,2,5,0,1,2,1,24000
4,1649,2,5,1,2,3,1,270000
3,1100,2,5,2,1,3,1,69000
3,1200,2,5,1,1,3,1,120000
2,680,2,5,2,2,2,1,32000
2,600,2,5,1,0,2,0,24000
4,1560,2,5,2,1,4,1,100000
5,4500,2,5,0,0,5,1,600000
2,771,2,5,2,1,2,1,45000
2,800,2,5,1,1,2,1,80000
2,800,1,5,1,0,2,1,37000
3,1425,2,5,0,0,4,1,210000
4,1750,2,5,1,1,4,1,190000
1,475,2,5,2,0,2,1,25000
4,2000,2,5,2,0,5,1,210000
3,1375,2,5,1,2,3,1,200000
5,2800,2,5,1,1,5,1,310000
1,650,1,5,1,1,1,0,26000
2,600,2,5,2,0,2,1,27000
1,649,1,5,2,1,1,0,26000
2,950,2,5,0,0,2,1,60000
1,225,2,5,2,2,1,0,12000
2,1000,2,5,0,1,2,1,180000
1,330,2,5,0,2,1,1,30000
3,1200,2,5,0,1,3,1,100000
3,1270,2,5,1,0,3,1,140000
3,920,2,5,2,1,3,1,70000
2,630,2,5,2,2,2,1,20000
2,670,2,5,0,2,2,1,22000
1,450,1,5,0,1,1,0,32000
1,265,1,5,2,1,1,0,20000
2,600,2,5,1,1,2,1,50000
2,670,2,5,2,2,2,0,29000
2,650,2,5,1,1,2,1,45000
1,422,2,5,1,2,2,1,6500
2,955,2,5,2,1,2,1,55000
3,1100,2,5,0,1,3,1,69999
1,300,2,5,2,0,1,0,18500
2,900,2,5,1,1,2,0,50000
2,785,2,5,2,0,2,1,45000
3,1350,2,5,0,2,3,1,85000
2,900,2,5,1,1,2,1,85000
1,400,2,5,2,0,1,1,25000
2,800,2,5,1,0,3,1,75000
2,895,2,5,1,1,2,1,190000
1,625,1,5,1,1,1,0,20000
2,720,2,5,1,1,2,1,30000
2,750,2,5,0,1,2,1,75000
3,1663,2,5,1,1,2,1,350000
2,660,2,5,1,1,2,1,70000
2,700,2,5,0,1,2,1,32000
1,377,1,5,2,1,2,0,22000
2,650,2,5,1,2,2,1,35000
2,650,2,5,2,1,2,1,47000
4,2080,2,5,1,1,5,1,400000
2,700,1,5,1,1,2,0,31000
1,430,2,5,0,1,1,1,60000
2,650,2,5,2,2,2,1,58000
3,890,2,5,0,1,2,1,85000
2,965,1,5,2,1,2,1,45000
1,630,1,5,1,1,2,1,7500
4,2100,2,5,1,1,4,1,250000
3,1100,2,5,0,2,3,1,150000
2,730,2,5,1,1,2,0,80000
3,1380,2,5,1,1,3,1,75000
3,1100,2,5,1,1,3,1,66000
